00:01.3,0,0,0,0,0,216,509,score1&2: 44
00:01.3,0,0,0,0,0,219,510,
00:01.4,0,0,0,0,0,221,510,
00:01.4,0,0,0,0,0,217,510,
00:01.4,0,0,0,0,0,219,510,
00:01.4,0,0,0,0,0,222,509,
00:01.4,0,0,0,0,0,218,509,
00:01.5,0,0,0,0,0,218,509,
00:01.5,0,0,0,0,0,222,509,
00:01.5,0,0,0,0,0,218,510,
00:01.5,0,0,0,0,0,218,509,
00:01.5,0,0,0,0,0,222,509,
00:01.6,0,0,0,0,0,220,510,
00:01.6,0,0,0,0,0,217,509,
00:01.6,0,0,0,0,0,221,510,
00:01.6,0,0,0,0,0,220,510,
00:01.6,0,0,0,0,0,218,510,
00:01.7,0,0,0,0,0,221,509,
00:01.7,0,0,0,0,0,221,509,
00:01.7,0,0,0,0,0,218,509,
00:01.7,0,0,0,0,0,220,509,
00:01.8,0,0,0,0,0,222,510,
00:01.8,0,0,0,0,0,218,509,
00:01.8,0,0,0,0,0,219,509,
00:01.8,0,0,0,0,0,222,509,
00:01.8,0,0,0,0,0,219,509,
00:01.9,0,0,0,0,0,218,509,
00:01.9,0,0,0,0,0,222,510,
00:01.9,0,0,0,0,0,220,510,
00:01.9,0,0,0,0,0,218,509,
00:02.0,0,0,0,0,0,222,509,
00:02.0,0,0,0,0,0,220,509,
00:02.0,0,0,0,0,0,218,509,
00:02.0,0,0,0,0,0,222,510,
00:02.0,0,0,0,0,0,221,509,
00:02.1,0,0,0,0,0,218,509,
00:02.1,0,0,0,0,0,221,509,
00:02.1,0,0,0,0,0,222,509,
00:02.1,0,0,0,0,0,218,509,
00:02.2,0,0,0,0,0,220,509,
00:02.2,0,0,0,0,0,222,509,
00:02.2,0,0,0,0,0,218,509,
00:02.2,0,0,0,0,0,219,509,
00:02.2,0,0,0,0,0,222,509,
00:02.3,0,0,0,0,0,219,510,
00:02.3,0,0,0,0,0,218,509,
00:02.3,0,0,0,0,0,222,509,
00:02.3,0,0,0,0,0,219,510,
00:02.4,0,0,0,0,0,217,509,
00:02.4,0,0,0,0,0,221,510,
00:02.4,0,0,0,0,0,220,509,
00:02.4,0,0,0,0,0,217,509,
00:02.4,0,0,0,0,0,220,510,
00:02.5,0,0,0,0,0,220,509,
00:02.5,0,0,0,0,0,217,509,
00:02.5,0,0,0,0,0,219,509,
00:02.5,0,0,0,0,0,220,510,
00:02.5,0,0,0,0,0,217,509,
00:02.6,0,0,0,0,0,218,509,
